,participant,block,order,spelling,wnw,resp,accuracy,prev.acc,rt,prev.rt,freq,prev.wnw,fg,wfnw,resp.1,ve
3473,1,7,3673,leul,2,2,1,1,549,616,NA,1,NA,7,2,0
3474,1,7,3674,datting,2,2,1,1,709,549,NA,2,NA,7,2,0
3475,1,7,3675,broolbaar,2,2,1,1,766,709,NA,2,NA,7,2,0
3476,1,7,3676,koetje,1,1,1,1,549,766,0.1372,2,2,2,1,0
3477,1,7,3677,zeinden,2,2,1,1,581,549,NA,1,NA,7,2,0
3478,1,7,3678,gesteent,2,2,1,1,884,581,NA,2,NA,7,2,0
3479,1,7,3679,frokheid,2,2,1,1,566,884,NA,2,NA,7,2,0
3480,1,7,3680,ondeugd,1,1,1,1,517,566,1.1205,2,3,3,1,0
3481,1,7,3681,mapo's,2,2,1,1,583,517,NA,1,NA,7,2,0
3482,1,7,3682,somen,2,2,1,1,965,583,NA,2,NA,7,2,0
3483,1,7,3683,meeuwtjes,1,1,1,1,852,965,0,2,1,1,1,0
3484,1,7,3684,dwaalden,1,1,1,1,760,852,0.3659,1,2,2,1,0
3485,1,7,3685,provikt,2,2,1,1,592,760,NA,1,NA,7,2,0
3486,1,7,3686,vep,2,2,1,1,525,592,NA,2,NA,7,2,0
3487,1,7,3687,heinend,2,2,1,1,590,525,NA,2,NA,7,2,0
3488,1,7,3688,zwot,2,2,1,1,572,590,NA,2,NA,7,2,0
3489,1,7,3689,winnaars,1,1,1,1,507,572,5.8542,2,5,5,1,0
3490,1,7,3690,betooft,2,2,1,1,524,507,NA,1,NA,7,2,0
3491,1,7,3691,omdinkt,2,2,1,1,525,524,NA,2,NA,7,2,0
3492,1,7,3692,meerschijn,2,2,1,1,734,525,NA,2,NA,7,2,0
3493,1,7,3693,gonzen,1,1,1,1,805,734,0.0686,2,1,1,1,0
3494,1,7,3694,kruisje,1,1,1,1,444,805,1.4864,1,4,4,1,0
3495,1,7,3695,migzam,2,2,1,1,512,444,NA,1,NA,7,2,0
3496,1,7,3696,scheek,2,2,1,1,577,512,NA,2,NA,7,2,0
3497,1,7,3697,lek,1,1,1,1,671,577,10.4506,2,5,5,1,0
3498,1,7,3698,bruistvaar,2,2,1,1,602,671,NA,1,NA,7,2,0
3499,1,7,3699,schouners,2,2,1,1,537,602,NA,2,NA,7,2,0
3500,1,7,3700,censors,1,1,1,1,793,537,0.0686,2,1,1,1,NA
3501,1,8,3701,kreed,2,2,1,NA,801,NA,NA,NA,NA,7,2,0
3502,1,8,3702,schikter,2,2,1,1,519,801,NA,2,NA,7,2,0
3503,1,8,3703,traject,1,1,1,1,424,519,1.0748,2,3,3,1,0
3504,1,8,3704,zet,1,1,1,1,412,424,315.5541,1,6,6,1,0
3505,1,8,3705,bolksten,2,2,1,1,594,412,NA,1,NA,7,2,1
3506,1,8,3706,moedde,2,1,0,1,608,594,NA,2,NA,7,1,0
3507,1,8,3707,beplast,2,2,1,0,893,608,NA,2,NA,7,2,0
3508,1,8,3708,plort,2,2,1,1,606,893,NA,2,NA,7,2,0
3509,1,8,3709,bieken,2,2,1,1,540,606,NA,2,NA,7,2,0
3510,1,8,3710,trinde,2,2,1,1,540,540,NA,2,NA,7,2,0
3511,1,8,3711,moorntje,2,2,1,1,619,540,NA,2,NA,7,2,0
3512,1,8,3712,nabooms,2,2,1,1,665,619,NA,2,NA,7,2,0
3513,1,8,3713,mummies,1,1,1,1,644,665,1.0977,2,3,3,1,0
3514,1,8,3714,manlijk,1,1,1,1,465,644,0.0915,1,1,1,1,0
3515,1,8,3715,antiek,1,1,1,1,499,465,4.4364,1,5,5,1,0
3516,1,8,3716,stokvis,1,1,1,1,1061,499,0.0686,1,1,1,1,0
3517,1,8,3717,zuil,1,1,1,1,433,1061,0.5488,1,3,3,1,0
3518,1,8,3718,voorkarm,2,2,1,1,581,433,NA,1,NA,7,2,0
3519,1,8,3719,steelgraad,2,2,1,1,579,581,NA,2,NA,7,2,0
3520,1,8,3720,soeroes,2,2,1,1,514,579,NA,2,NA,7,2,1
3521,1,8,3721,greens,1,2,0,1,548,514,0.1143,2,NA,NA,2,0
3522,1,8,3722,mensheid,1,1,1,0,803,548,19.7579,1,6,6,1,0
3523,1,8,3723,zeigt,2,2,1,1,521,803,NA,1,NA,7,2,0
3524,1,8,3724,kijsjes,2,2,1,1,715,521,NA,2,NA,7,2,0
3525,1,8,3725,handjes,1,1,1,1,739,715,4.9623,2,5,5,1,0
3526,1,8,3726,piddiffs,2,2,1,1,732,739,NA,1,NA,7,2,0
3527,1,8,3727,nemma's,2,2,1,1,564,732,NA,2,NA,7,2,1
3528,1,8,3728,sprankjes,1,2,0,1,756,564,0,2,1,1,2,0
3529,1,8,3729,duurste,1,1,1,0,570,756,2.424,1,4,4,1,0
3530,1,8,3730,werpers,1,1,1,1,586,570,0.2744,1,2,2,1,0
3531,1,8,3731,vem,2,2,1,1,617,586,NA,1,NA,7,2,0
3532,1,8,3732,tuizen,2,2,1,1,630,617,NA,2,NA,7,2,0
3533,1,8,3733,schonken,1,1,1,1,722,630,0.4116,2,2,2,1,0
3534,1,8,3734,tomen,1,1,1,1,1323,722,0.2058,1,2,2,1,0
3535,1,8,3735,koertjes,1,1,1,1,732,1323,0,1,1,1,1,0
3536,1,8,3736,smetsen,2,2,1,1,708,732,NA,1,NA,7,2,0
3537,1,8,3737,gekrenkt,1,1,1,1,541,708,2.1267,2,4,4,1,0
3538,1,8,3738,butler,1,1,1,1,477,541,6.746,1,5,5,1,0
3539,1,8,3739,zaak,1,1,1,1,495,477,239.3354,1,6,6,1,0
3540,1,8,3740,gangsters,1,1,1,1,562,495,5.6712,1,5,5,1,0
3541,1,8,3741,saupa,2,2,1,1,753,562,NA,1,NA,7,2,1
3542,1,8,3742,fjorden,1,2,0,1,537,753,0.2058,2,2,2,2,0
3543,1,8,3743,dijder,2,2,1,0,633,537,NA,1,NA,7,2,0
3544,1,8,3744,ontucht,1,1,1,1,550,633,1.8523,2,4,4,1,0
3545,1,8,3745,geliep,2,2,1,1,1174,550,NA,1,NA,7,2,0
3546,1,8,3746,cricket,1,1,1,1,668,1174,2.2182,2,4,4,1,1
3547,1,8,3747,these,1,2,0,1,695,668,0.1829,1,2,2,2,0
3548,1,8,3748,vervoen,2,2,1,0,625,695,NA,1,NA,7,2,0
